poiid,station_name,pointx,pointy,ccode,station_score_normalized,trans_lines_normalized,platform_normalized,final_score
2199026942883,黄杨路,121.591049,31.233992,310000,0.2666666666666666,0.0,0.0,0.05333333333333332
2199026942884,云顺路,121.600428,31.236975,310000,0.19999999999999996,0.0,0.0,0.039999999999999994
2199026942885,浦东足球场,121.615489,31.241658,310000,0.1333333333333333,0.0,0.0,0.02666666666666666
2199026942886,金粤路,121.629121,31.242145,310000,0.06666666666666665,0.0,0.0,0.01333333333333333
2199026942887,桂桥路,121.635185,31.249965,310000,0.0,0.0,0.0,0.0
2199026956489,福邻,114.081213,22.525366,440300,0.846153846153846,0.0,0.0,0.1692307692307692
2199026958177,小乔,113.694519,34.60045,410100,0.4444444444444442,0.0,0.0,0.08888888888888885
2199026958178,华南城东,113.774227,34.594008,410100,0.7777777777777777,0.0,0.0,0.15555555555555556
2199026958179,港区北,113.838005,34.584916,410100,1.0,0.0,0.0,0.2
2199026962860,港城,106.634102,29.619088,500000,0.5454545454545454,0.0,0.0,0.10909090909090909
2199026965688,省政府,103.827057,36.058255,620100,0.7777777777777779,0.0,0.0,0.15555555555555559
2199026966017,平潮,120.757738,32.106056,320600,0.0,0.0,0.0,0.0
2199026966018,南通西站,120.765576,32.101632,320600,0.07692307692307687,0.0,0.0,0.015384615384615375
2199026966019,集成村,120.778279,32.090155,320600,0.15384615384615374,0.0,0.0,0.03076923076923075
2199026966020,河口,120.794206,32.085229,320600,0.23076923076923062,0.0,0.0,0.04615384615384613
2199026966021,唐闸公园,120.818335,32.071068,320600,0.3076923076923077,0.0,0.0,0.06153846153846154
2199026966022,普贤路,120.828985,32.062693,320600,0.3846153846153846,0.0,0.0,0.07692307692307693
2199026966023,十里坊,120.822505,32.043428,320600,0.46153846153846145,0.0,0.0,0.0923076923076923
2199026966024,城港路,120.815769,32.031642,320600,0.5384615384615385,0.0,0.0,0.10769230769230771
2199026966025,曙光,120.819982,32.023645,320600,0.6153846153846154,0.0,0.0,0.12307692307692308
2199026966026,茶庵殿,120.83588,32.015062,320600,0.6923076923076923,0.0,0.0,0.13846153846153847
