,station_uid,line_uid,line_name,station_name,stationid,poiid,pointx,pointy,poitype,trans,color,ccode,line_start_city,line_terminal_city,line_tag,expect_open_time,line_open_status,is_updown,nearby_lines,trans_lines_detail,trans_lines_count,station_index,stations_count,platform_count_final,line_name_clean,trans_count_final,station_score,station_score_normalized,trans_lines_normalized,platform_normalized,station_score_normalized_final,trans_lines_normalized_final,platform_normalized_final,final_score
27,10497156114627656528,2284796347301575980,地铁2号线内环,崇文门,16001100616398858415,10003073710091981801,116.417185,39.90104,2,1,#3A8DCC,110000,110000,110000,1:1,,1,1,,['地铁5号线'],1,10,19,2.0,地铁2号线,2,19.0,1.0,0.3333333333333333,0.3333333333333333,1.4545454545454546,0.3333333333333333,0.3333333333333333,0.5575757575757576
29,11341675971318283403,2284796347301575980,地铁2号线内环,前门,14806397322642293436,10003019650120743281,116.397957,39.900126,2,1,#3A8DCC,110000,110000,110000,1:1,,1,1,,['地铁8号线'],1,11,19,2.0,地铁2号线,2,18.0,0.8888888888888888,0.3333333333333333,0.3333333333333333,1.65359477124183,0.3333333333333333,0.3333333333333333,0.5973856209150327
31,10385574846069516437,2284796347301575980,地铁2号线内环,和平门,14414088041440512536,10003555170833008281,116.384196,39.900081,2,0,#3A8DCC,110000,110000,110000,1:1,,1,1,,,0,12,19,1.0,地铁2号线,1,17.0,0.7777777777777777,0.0,0.0,0.7777777777777777,0.0,0.0,0.15555555555555556
32,2994908545226987011,2284796347301575980,地铁2号线内环,宣武门,10374406190303740743,10003120875725820341,116.374371,39.899781,2,1,#3A8DCC,110000,110000,110000,1:1,,1,1,,['地铁4号线大兴线'],1,13,19,1.0,地铁2号线,2,16.0,0.6666666666666665,0.3333333333333333,0.0,1.6666666666666663,0.3333333333333333,0.0,0.5333333333333332
34,10911323139221268921,2284796347301575980,地铁2号线内环,长椿街,17192141981893450934,10003397433846040071,116.36344,39.899426,2,0,#3A8DCC,110000,110000,110000,1:1,,1,1,,,0,14,19,1.0,地铁2号线,1,15.0,0.5555555555555554,0.0,0.0,0.5555555555555554,0.0,0.0,0.11111111111111108
35,9038288057466795803,2284796347301575980,地铁2号线内环,复兴门,10437054291724091929,10003572665412276801,116.356832,39.907282,2,1,#3A8DCC,110000,110000,110000,1:1,,1,1,,['地铁1号线八通线'],1,15,19,1.0,地铁2号线,1,14.0,0.4444444444444442,0.0,0.0,0.4444444444444442,0.0,0.0,0.08888888888888885
36,12699773588976726518,2284796347301575980,地铁2号线内环,阜成门,2199028257910,2199028258494,116.356271,39.923663,2,0,#3A8DCC,110000,110000,110000,1:1,,1,1,,['地铁2号线外环'],1,16,19,1.0,地铁2号线,1,13.0,0.33333333333333326,0.0,0.0,0.33333333333333326,0.0,0.0,0.06666666666666665
37,5294137683438870957,2284796347301575980,地铁2号线内环,车公庄,7934028235569926702,2199027905884,116.355893,39.932402,2,1,#3A8DCC,110000,110000,110000,1:1,,1,1,,"['地铁6号线', '地铁13A号线']",2,17,19,2.0,地铁2号线,2,12.0,0.2222222222222221,0.3333333333333333,0.3333333333333333,0.9281045751633985,0.3333333333333333,0.3333333333333333,0.45228758169934635
39,5226797978670900871,2284796347301575980,地铁2号线内环,西直门,2199028257947,2199028258656,116.355456,39.940471,2,1,#3A8DCC,110000,110000,110000,1:1,,1,1,,"['地铁13号线', '地铁4号线大兴线', '地铁13A号线']",3,18,19,2.0,地铁2号线,3,11.0,0.11111111111111094,0.6666666666666667,0.3333333333333333,0.7581699346405226,0.6666666666666667,0.3333333333333333,0.6183006535947713
42,8771345687900226704,6059181244303640663,地铁4号线大兴线,天宫院,595843250671315761,2199027905889,116.319881,39.670299,2,0,#59BDC9,110000,110000,110000,1:1,,1,1,,,0,1,35,1.0,地铁4号线大兴线,1,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,13336406800282951948,6059181244303640663,地铁4号线大兴线,生物医药基地,2199028257917,10003214567048842201,116.321661,39.686524,2,0,#59BDC9,110000,110000,110000,1:1,,1,1,,,0,2,35,1.0,地铁4号线大兴线,1,19.0,0.05882352941176472,0.0,0.0,0.05882352941176472,0.0,0.0,0.011764705882352944
